reference_date,jurisdiction_id,indigenous_status_id,sex_id,legal_status_id,measure_id,unit_id,value,value_status,source_workbook_digest,source_sheet,source_cell,recipe_digest,raw_jurisdiction,raw_indigenous_status,raw_sex,raw_legal_status
2023-06-30,NSW,INDIGENOUS,FEMALE,UNSENTENCED,prisoner-count,person,130,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R13C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Females,Unsentenced
2023-06-30,NSW,INDIGENOUS,MALE,SENTENCED,prisoner-count,person,1980,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R8C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Males,Sentenced
2023-06-30,NSW,INDIGENOUS,MALE,TOTAL,prisoner-count,person,3218,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R10C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Males,Total
2023-06-30,NSW,INDIGENOUS,MALE,UNSENTENCED,prisoner-count,person,1238,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R9C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Males,Unsentenced
2023-06-30,NSW,INDIGENOUS,PERSONS,SENTENCED,prisoner-count,person,2145,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R16C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons,Sentenced
2023-06-30,NSW,INDIGENOUS,PERSONS,TOTAL,prisoner-count,person,3510,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R18C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons,Total
2023-06-30,NSW,INDIGENOUS,PERSONS,UNSENTENCED,prisoner-count,person,1370,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R17C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,ABORIGINAL AND TORRES STRAIT ISLANDER,Persons,Unsentenced
2023-06-30,NSW,NON_INDIGENOUS,FEMALE,SENTENCED,prisoner-count,person,292,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R25C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,NON-INDIGENOUS,Females,Sentenced
2023-06-30,NSW,NON_INDIGENOUS,FEMALE,TOTAL,prisoner-count,person,526,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R27C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,NON-INDIGENOUS,Females,Total
2023-06-30,NSW,NON_INDIGENOUS,FEMALE,UNSENTENCED,prisoner-count,person,234,observed,sha256:59afcaf8a0c52a2754f75954ce5821611ee735f329d90d0e4b80c3dead0827af,Table_30,R26C2,sha256:da4aaa1c75b46be7a0745ff0f13f1092c8c28dd83ab8aeef2b5fc150baa0bb82,NSW,NON-INDIGENOUS,Females,Unsentenced
